chebi_id	children_count	depth[,]
CHEBI:545959	0	8, 9, 10, 11, 12
CHEBI:59696	8	6, 8, 9, 10, 11
CHEBI:59697	0	5, 8
CHEBI:59690	0	10, 11
CHEBI:59691	0	9, 10, 11
CHEBI:34037	0	11, 12, 13, 14, 15
CHEBI:57599	0	6, 8, 9, 10
CHEBI:34039	0	11, 12, 13, 14, 15
CHEBI:13253	2	10, 11, 12, 14
CHEBI:13248	12	7, 8, 10
CHEBI:34043	0	10, 11
CHEBI:34046	0	11, 12, 13, 14, 15
CHEBI:34047	0	8, 10
CHEBI:34031	0	10, 11, 12, 13
CHEBI:34034	0	7, 9, 10, 12
CHEBI:57579	0	6, 8, 9, 10
CHEBI:57577	0	5, 6, 8, 9, 10
CHEBI:57578	0	6, 7
CHEBI:34061	0	8
CHEBI:57587	0	8, 9, 10, 11, 12
CHEBI:57586	0	7, 8, 10
CHEBI:46493	0	17, 16, 8, 9, 10, 11, 14, 15
CHEBI:57585	0	7
CHEBI:57584	0	6, 8, 9, 10
CHEBI:46492	0	7, 8, 9, 10, 11
CHEBI:57583	0	9, 10, 12
CHEBI:34063	0	10, 11, 12, 13, 14
CHEBI:57582	0	7, 9, 10, 11
CHEBI:57581	0	6, 7
CHEBI:57580	0	7, 8
CHEBI:34065	0	8, 9, 10, 11, 12
CHEBI:43899	0	7, 8, 9, 10, 11, 12, 13, 14
CHEBI:57588	0	6
CHEBI:43896	0	17, 16, 18, 15
CHEBI:57589	0	8, 9, 10, 12
CHEBI:34048	0	7, 9, 10, 11, 12, 13
CHEBI:57590	0	6, 8, 9, 10
CHEBI:57596	0	7, 9, 10, 11
CHEBI:34058	0	8
CHEBI:57595	0	7, 8, 11, 12, 13, 14
CHEBI:57598	0	6, 7
CHEBI:57597	0	6, 8, 9, 10
CHEBI:34056	2	9, 10, 11
CHEBI:57592	0	5, 8
CHEBI:34053	0	10, 12
CHEBI:57594	0	7
CHEBI:34052	0	8, 9, 10, 11, 12
CHEBI:57593	0	6
CHEBI:4754	0	7, 8, 9, 10, 11, 12, 13, 14
CHEBI:4753	0	8, 9, 10, 11, 12, 13
CHEBI:59850	0	6, 8, 9, 11
CHEBI:59851	5	6, 7, 8
CHEBI:59852	1	7, 8, 9
CHEBI:4759	0	7, 8, 9
CHEBI:59848	5	8, 9, 11
CHEBI:59847	0	10, 11, 12, 13
CHEBI:34005	0	16, 9, 10, 11, 12, 13, 14, 15
CHEBI:45999	0	9, 10, 11, 12, 13, 14, 15
CHEBI:59849	0	7, 8, 9
CHEBI:46459	0	16, 13, 14, 15
CHEBI:34008	0	10, 11, 12, 13, 14, 15
CHEBI:46458	0	8, 9, 10, 11, 12, 13
CHEBI:43732	0	8, 9, 10, 11, 12, 13, 14
CHEBI:59843	0	10, 11, 12, 13
CHEBI:46457	0	7, 8, 9, 10, 11, 12, 13, 14
CHEBI:59846	0	10, 11, 12, 13
CHEBI:46456	0	9, 10, 11, 12, 13, 14
CHEBI:59845	31	9, 11, 12, 13, 14
CHEBI:43737	0	8, 9, 10, 11
CHEBI:43739	0	12, 13, 14, 15
CHEBI:4743	0	9, 10, 11, 12, 13, 14
CHEBI:59841	0	10
CHEBI:59842	0	10, 11, 12, 13
CHEBI:59840	0	10
CHEBI:34025	0	8, 9, 10
CHEBI:34024	0	10, 11, 12
CHEBI:34023	0	8, 9, 10, 12
CHEBI:4746	0	12, 13
CHEBI:46451	0	10, 11, 12
CHEBI:59839	0	10
CHEBI:59838	3	9
CHEBI:46449	0	7, 8, 9, 11
CHEBI:43741	0	8, 9, 10, 11, 12
CHEBI:59837	0	9, 10
CHEBI:59836	12	8, 9, 11
CHEBI:41607	0	10, 11, 12, 13
